,name,rating,reviews,highly rated for,critically rated for,details,jobs
0,Securitas,3.8,328,Promotions / Appraisal,,Law Enforcement & Security | 10k-50k Employees | Forbes Global 2000 | 90 years old | Stockholm +33 more,328
1,Juniper Networks,4.1,328,"Company Culture, Work Life Balance, Salary & Benefits",,Hardware & Networking | 1k-5k Employees | 28 years old | Sunnyvale +6 more,328
2,GAVS Technologies,4.0,328,"Salary & Benefits, Work Life Balance, Company Culture",,IT Services & Consulting | 1k-5k Employees | 26 years old | Princeton +12 more,328
3,Applied Materials,4.1,328,"Job Security, Company Culture, Skill Development / Learning",,Semiconductors | 5k-10k Employees | Forbes Global 2000 | 22 years old | Santa Clara +10 more,328
4,SunTec Web Services,3.4,327,"Promotions / Appraisal, Salary & Benefits, Job Security",,IT Services & Consulting | 1k-5k Employees | 25 years old | New Delhi +5 more,327
5,Ventura Securities,4.0,327,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,Financial Services | 1k-5k Employees | Public | 30 years old | Thane +42 more,327
6,Hyundai Engineering and Construction,4.4,327,"Salary & Benefits, Work Satisfaction, Company Culture",,Engineering & Construction | 501-1k Employees | Abu Dhabi +25 more,327
7,Axa XL,3.6,327,Job Security,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",Insurance | 1k-5k Employees | 38 years old | Hamilton +5 more,327
8,Powerweave,3.6,326,"Promotions / Appraisal, Company Culture, Skill Development / Learning",,BPO | 501-1k Employees | 23 years old | Mumbai +4 more,326
9,Visaka Industries,4.1,326,"Work Life Balance, Job Security, Company Culture",,Building Material | 1k-5k Employees | Public | 43 years old | Hyderabad/Secunderabad +47 more,326
10,Nspira Management Services,3.8,326,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",,BPO | 1k-5k Employees | 9 years old | Hyderabad/Secunderabad +36 more,326
11,Eurokids,4.0,326,"Skill Development / Learning, Work Life Balance, Company Culture",,Education & Training | 10k-50k Employees | 23 years old | Mumbai +60 more,326
12,Fenesta Building Systems,4.1,326,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,Building Material | 1k-5k Employees | 21 years old | Gurgaon/Gurugram +54 more,326
13,Telesonic Networks,3.8,326,Promotions / Appraisal,,Telecom | 5k-10k Employees | Public | 15 years old | Delhi/NCR +44 more,326
