,name,rating,reviews,highly rated for,critically rated for,details,jobs
7,Programmers.io,4.4,127,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",,IT Services & Consulting | 1k-5k Employees | 11 years old | Jaipur +3 more,127
8,WorkIndia,3.1,127,"Job Security, Promotions / Appraisal, Work Satisfaction",,IT Services & Consulting | 201-500 Employees | 9 years old | Mumbai +11 more,127
9,PrepLadder,3.4,127,"Job Security, Promotions / Appraisal, Skill Development / Learning",,EdTech | 501-1k Employees | 9 years old | Panchkula +9 more,127
10,Slice,3.3,127,"Promotions / Appraisal, Job Security, Skill Development / Learning",,Financial Services | 1k-5k Employees | Indian Unicorn | 9 years old | New York City +5 more,127
11,NexTurn,4.4,127,"Skill Development / Learning, Company Culture, Work Life Balance",,IT Services & Consulting | 51-200 Employees | Startup | 3 years old | Bellevue +3 more,127
12,Prothious Engineering Services,3.4,126,Job Security,"Promotions / Appraisal, Work Life Balance, Company Culture",Design | 1k-5k Employees | 19 years old | Mumbai +5 more,126
13,WM Logistics,3.5,126,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",Logistics | 501-1k Employees | 13 years old | Houstan +2 more,126
14,In2IT Technologies,3.5,126,"Promotions / Appraisal, Salary & Benefits, Company Culture",,IT Services & Consulting | 201-500 Employees | 34 years old | Irving +11 more,126
15,Mohani Tea Leaves,3.8,126,"Promotions / Appraisal, Company Culture, Work Satisfaction",,FMCG | 201-500 Employees | 32 years old | Kanpur +17 more,126
16,Oxigen Services,4.1,126,"Company Culture, Work Life Balance, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",FinTech | 51-200 Employees | 20 years old | Gurgaon +25 more,126
17,Jyote Motors,3.7,126,"Promotions / Appraisal, Job Security, Skill Development / Learning",,Automobile | 51-200 Employees | 28 years old | Bhubaneswar +9 more,126
18,Vsun Mobile,3.8,126,"Skill Development / Learning, Company Culture",,Telecom | 51-200 Employees | 13 years old | Dubai +9 more,126
19,Prestige Estates Projects,4.4,126,"Job Security, Work Life Balance, Company Culture",,Real Estate | 1k-5k Employees | Public | 38 years old | Bangalore/Bengaluru +7 more,126
0,NDS InfoServ,4.5,126,"Job Security, Skill Development / Learning, Salary & Benefits",,BPO | 201-500 Employees | 24 years old | Dallas TX +6 more,126
1,Ramee Group of Hotels,3.6,126,"Promotions / Appraisal, Job Security, Company Culture",,Hospitality | 51-200 Employees | 39 years old | Dubai +12 more,126
2,KDK Software,3.5,126,"Job Security, Work Life Balance, Work Satisfaction",,Software Product | 51-200 Employees | 18 years old | Jaipur +8 more,126
3,KPC Projects,4.0,126,"Job Security, Company Culture, Work Life Balance",,Engineering & Construction | 201-500 Employees | 29 years old | Hyderabad +18 more,126
4,Sangam India,3.6,126,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Fashion & Textile | 1k-5k Employees | Public | 40 years old | Bhilwara +13 more,126
5,Orange City Water,4.0,126,"Work Life Balance, Work Satisfaction",Promotions / Appraisal,Waste Management | 201-500 Employees | 13 years old | Nagpur +2 more,126
6,ING Vysya Bank,4.4,126,"Work Satisfaction, Company Culture, Work Life Balance",,Banking | 5k-10k Employees | Public | 22 years old | Mumbai +41 more,126
7,Etihad Airways,4.1,126,"Skill Development / Learning, Work Life Balance, Salary & Benefits",,Aviation | 51-200 Employees | 21 years old | Abu Dhabi +12 more,126
8,Aksh Optifibre,3.8,126,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Job Security",Telecom | 201-500 Employees | Public | 38 years old | Delhi/NCR +12 more,126
9,DS-MAX Properties,4.0,126,"Company Culture, Job Security",Promotions / Appraisal,Real Estate | 5k-10k Employees | 17 years old | Bangalore/Bengaluru +7 more,126
10,Profinch Solutions,3.4,126,"Salary & Benefits, Job Security",,FinTech | 501-1k Employees | Startup | 10 years old | Bangalore +3 more,126
11,The Cosmos Co-operative Bank,3.6,126,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Banking | 1k-5k Employees | 118 years old | Pune +21 more,126
12,Futurz Staffing Solutions,3.8,126,"Promotions / Appraisal, Salary & Benefits, Job Security",,Recruitment | 51-200 Employees | 19 years old | Mumbai +30 more,126
13,Puthur Infotech,3.5,126,"Promotions / Appraisal, Salary & Benefits, Company Culture",,IT Services & Consulting | 501-1k Employees | 18 years old | Bangalore/Bengaluru +32 more,126
14,Chowgule Industries,4.0,126,Skill Development / Learning,Promotions / Appraisal,Auto Components | 51-200 Employees | 38 years old | Goa +15 more,126
15,EASTMAN EXPORTS GLOBAL CLOTHING PVT.LTD,3.7,126,"Promotions / Appraisal, Job Security",,Fashion & Textile | 501-1k Employees (Global) | 41 years old | Tirupur/Tiruppur +8 more,126
16,Swiss Garnier Life Sciences,3.7,126,"Promotions / Appraisal, Skill Development / Learning, Company Culture",,Pharma | 201-500 Employees | 19 years old | Chennai +9 more,126
17,Chiripal Poly Films,4.2,126,"Work Life Balance, Work Satisfaction, Skill Development / Learning",,Packaging | 501-1k Employees | Public | 12 years old | Ahmedabad +7 more,126
18,Putzmeister Concrete Machines,3.9,126,"Promotions / Appraisal, Job Security, Salary & Benefits",,Industrial Machinery | 201-500 Employees | 17 years old | Aichtal +21 more,126
19,Divgi Torqtransfer Systems,3.7,126,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",Auto Components | 51-200 Employees | 29 years old | Pune +2 more,126
0,Soothe Healthcare,3.5,126,"Job Security, Promotions / Appraisal, Company Culture",,Healthcare | 201-500 Employees | 12 years old | Noida +26 more,126
1,Amity International School,4.2,126,"Job Security, Skill Development / Learning, Company Culture",,Education & Training | 5k-10k Employees | 30 years old | Noida +14 more,126
2,MeritTrac,3.8,126,Company Culture,"Promotions / Appraisal, Job Security",EdTech | 201-500 Employees | 24 years old | Bangalore +14 more,126
3,Cadeploy Engineering,2.7,126,"Job Security, Promotions / Appraisal, Work Life Balance",,Engineering & Construction | 51-200 Employees | 12 years old | San Ramon +6 more,126
4,Hospet Steels,3.7,126,Job Security,"Promotions / Appraisal, Salary & Benefits",Iron & Steel | 1k-5k Employees | 35 years old | Koppal +5 more,126
5,OSB India,3.2,126,"Skill Development / Learning, Promotions / Appraisal, Work Satisfaction",,Financial Services | 501-1k Employees | 20 years old | Bangalore/Bengaluru +4 more,126
6,Sagar Hospital,4.1,126,"Work Satisfaction, Skill Development / Learning, Work Life Balance",,Healthcare | 1k-5k Employees | 22 years old | Bangalore/Bengaluru +7 more,126
7,Translumina Therapeutics,4.1,126,"Company Culture, Salary & Benefits, Work Life Balance",,Healthcare | 201-500 Employees | 14 years old | Delhi +8 more,126
8,Cogent,3.5,126,"Promotions / Appraisal, Job Security, Salary & Benefits",,IT Services & Consulting | 51-200 Employees | 88 years old | Birmingham +16 more,126
9,20Cube Logistics,3.7,126,Promotions / Appraisal,,Logistics | 51-200 Employees | 13 years old | Singapore +21 more,126
10,Upstox,3.8,126,"Promotions / Appraisal, Work Satisfaction",,FinTech | 1k-5k Employees | Indian Unicorn | 13 years old | Mumbai +17 more,126
11,Marolix Technology Solutions,3.6,126,"Promotions / Appraisal, Job Security, Salary & Benefits",,IT Services & Consulting | 13 years old | Hyderabad +2 more,126
12,Choice Consultancy Services,4.3,126,"Salary & Benefits, Company Culture, Work Life Balance",,Management Consulting | 1k-5k Employees (Global) | 14 years old | Mumbai +36 more,126
13,Hitachi Systems,4.1,126,"Work Life Balance, Job Security, Company Culture",,IT Services & Consulting | 1k-5k Employees | Mumbai +21 more,126
14,Sundaram Home Finance,4.2,126,"Work Life Balance, Job Security, Company Culture",,NBFC | 1k-5k Employees | Public | 25 years old | Chennai +48 more,126
15,Tripjack,4.7,126,"Job Security, Work Life Balance, Skill Development / Learning",,Travel & Tourism | 501-1k Employees | 37 years old | Mumbai +8 more,126
16,Plintron Global Technology Solutions,3.1,125,"Promotions / Appraisal, Salary & Benefits, Company Culture",,Telecom | 501-1k Employees | 16 years old | Singapore +2 more,125
17,Inspiredge IT Solutions,4.1,125,"Job Security, Skill Development / Learning, Work Life Balance",,IT Services & Consulting | 201-500 Employees | 12 years old | Visakhapatnam +2 more,125
18,FCS Software Solutions,3.2,125,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,IT Services & Consulting | 1k-5k Employees | Public | 30 years old | Noida +13 more,125
19,FEV,3.4,125,"Promotions / Appraisal, Company Culture, Salary & Benefits",,Auto Components | 201-500 Employees | 46 years old | Aachen +5 more,125
0,Jasper Industries,4.1,125,"Work Satisfaction, Job Security, Skill Development / Learning",,Automobile | 501-1k Employees | 69 years old | Hyderabad +16 more,125
1,Sterling Biotech,4.2,125,"Job Security, Company Culture, Work Satisfaction",Promotions / Appraisal,Pharma | 501-1k Employees | Public | 39 years old | Mumbai +2 more,125
2,Himedia Laboratories,3.3,125,"Promotions / Appraisal, Company Culture, Work Satisfaction",,Biotechnology | 201-500 Employees | 51 years old | Mumbai +13 more,125
3,Prudent Corporate Advisory Services,4.2,125,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Investment Banking / Venture Capital / Private Equity | 501-1k Employees | 24 years old | Ahmedabad +44 more,125
4,Appcino Technologies,3.9,125,"Job Security, Company Culture, Work Life Balance",,IT Services & Consulting | 201-500 Employees | 11 years old | Jaipur +12 more,125
5,FCS Software Solutions,3.2,125,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,IT Services & Consulting | 1k-5k Employees | Public | 30 years old | Noida +13 more,125
6,Wicked Ride Adventures,3.9,125,"Work Life Balance, Work Satisfaction, Company Culture","Job Security, Promotions / Appraisal",Internet | 51-200 Employees | Startup | 10 years old | Bangalore +8 more,125
7,FEV,3.4,125,"Promotions / Appraisal, Company Culture, Salary & Benefits",,Auto Components | 201-500 Employees | 46 years old | Aachen +5 more,125
8,Hartex Rubber,3.4,125,"Promotions / Appraisal, Salary & Benefits, Company Culture",,Auto Components | 201-500 Employees | 63 years old | Hyderabad/Secunderabad +10 more,125
9,Mahindra Sanyo Special Steel,3.7,125,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Iron & Steel | 1k-5k Employees | 91 years old | Khopoli +7 more,125
10,Lulu Hypermarket,3.9,125,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Retail | 201-500 Employees | 24 years old | Abu Dhabi +22 more,125
11,Denso Ten Minda India,4.1,125,"Job Security, Work Life Balance, Company Culture",,Auto Components | 51-200 Employees | 12 years old | Bawal +6 more,125
12,Osam Dairy,3.9,125,"Promotions / Appraisal, Job Security, Salary & Benefits",,Agriculture | 201-500 Employees | 14 years old | Ranchi +19 more,125
13,Shakambhari Ispat & Power,3.6,125,"Promotions / Appraisal, Work Satisfaction, Company Culture",,Power | 1k-5k Employees | 23 years old | Kolkata +9 more,125
14,Inspiredge IT Solutions,4.1,125,"Job Security, Skill Development / Learning, Work Life Balance",,IT Services & Consulting | 201-500 Employees | 12 years old | Visakhapatnam +2 more,125
15,Inchcape Shipping Services,3.5,125,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,Ports & Shipping | 201-500 Employees | 177 years old | London +11 more,125
16,Ministry of Home Affairs,4.3,125,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,Government | 51-200 Employees | Central | 77 years old | New Delhi +20 more,125
17,Globus Spirits,3.6,125,"Company Culture, Promotions / Appraisal",,Beverage | 1k-5k Employees | Public | 32 years old | New Delhi +17 more,125
18,Innovision,3.3,125,"Work Satisfaction, Job Security, Skill Development / Learning",,Facility Management Services | 201-500 Employees | 17 years old | Gurgaon/Gurugram +31 more,125
19,Enpro Industries,4.1,125,"Job Security, Skill Development / Learning, Company Culture",,Oil & Gas | 201-500 Employees | 36 years old | Pune +2 more,125
0,NIMT,4.5,125,"Skill Development / Learning, Job Security, Work Satisfaction",,Education & Training | 51-200 Employees (Global) | 32 years old | Ghaziabad +5 more,125
1,Medgenome Labs,3.7,125,"Promotions / Appraisal, Work Life Balance, Company Culture",,Biotechnology | 201-500 Employees | Startup | 11 years old | Bangalore +15 more,125
2,Tech Mahindra Foundation,4.2,125,"Skill Development / Learning, Company Culture, Work Life Balance",,Non-Profit | 11-50 Employees | 17 years old | New Delhi +20 more,125
3,HM Group,4.7,125,"Company Culture, Work Life Balance, Salary & Benefits",,Real Estate | 51-200 Employees | 33 years old | Bengaluru +4 more,125
4,Lulu Hypermarket,3.9,125,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Retail | 201-500 Employees | 24 years old | Abu Dhabi +22 more,125
5,DB Engineering & Consulting,4.4,125,"Work Life Balance, Company Culture, Salary & Benefits",,Railways | 201-500 Employees | 58 years old | Berlin +9 more,125
6,Trident Automobiles,4.6,125,"Company Culture, Work Life Balance, Work Satisfaction",,Auto Components | 201-500 Employees | 26 years old | Bangalore/Bengaluru +6 more,125
7,Pure & Cure Healthcare,4.1,125,"Job Security, Skill Development / Learning, Company Culture",,Pharma | 11-50 Employees | 19 years old | Haridwar +5 more,125
8,Mvs Acmei Technologies,4.3,125,"Job Security, Skill Development / Learning, Company Culture",,Industrial Machinery | 201-500 Employees | 15 years old | Hyderabad +19 more,125
9,Enrich Hair And Skin Solutions,3.8,125,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",,Beauty & Personal Care | 501-1k Employees | 20 years old | Mumbai +12 more,125
10,SIAC SKH India Cabs Manufacturing,3.8,125,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,Industrial Machinery | 1-10 Employees | 14 years old | Palwal +7 more,125
11,Osam Dairy,3.9,125,"Promotions / Appraisal, Job Security, Salary & Benefits",,Agriculture | 201-500 Employees | 14 years old | Ranchi +19 more,125
12,Shakambhari Ispat & Power,3.6,125,"Promotions / Appraisal, Work Satisfaction, Company Culture",,Power | 1k-5k Employees | 23 years old | Kolkata +9 more,125
13,Denso Ten Minda India,4.1,125,"Job Security, Work Life Balance, Company Culture",,Auto Components | 51-200 Employees | 12 years old | Bawal +6 more,125
14,Mahindra Sanyo Special Steel,3.7,125,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Iron & Steel | 1k-5k Employees | 91 years old | Khopoli +7 more,125
15,Reliance Corporate IT Park,4.4,125,"Company Culture, Skill Development / Learning, Work Life Balance",,Thane +26 more,125
16,Tata Ficosa Automotive Systems,3.9,125,"Job Security, Skill Development / Learning, Work Life Balance",,Auto Components | 201-500 Employees | 26 years old | Pune +10 more,125
17,Fortis Memorial Research Institute,3.7,125,"Work Satisfaction, Promotions / Appraisal",,Clinical Research | 11 years old | Gurgaon +5 more,125
18,Collman Services,4.0,125,"Skill Development / Learning, Company Culture",,BPO | 201-500 Employees | Chennai +13 more,125
19,The Belgian Waffle co,4.4,125,"Company Culture, Job Security, Work Life Balance",,Hospitality | 1k-5k Employees | 9 years old | Mumbai +13 more,125
0,Accentuate Business Solutions,3.9,125,Skill Development / Learning,Promotions / Appraisal,IT Services & Consulting | 51-200 Employees | Gurgaon/Gurugram +12 more,125
1,Redington Gulf,3.6,125,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | 1k-5k Employees (Global) | 25 years old | Dubai +2 more,125
2,Qdigi Services,3.9,125,"Work Life Balance, Skill Development / Learning, Work Satisfaction",Promotions / Appraisal,Recruitment | 51-200 Employees | Noida +34 more,125
3,ION Group,3.6,125,"Work Life Balance, Salary & Benefits","Skill Development / Learning, Promotions / Appraisal, Work Satisfaction",Software Product | 1k-5k Employees | Noida +8 more,125
4,Samkwang India Electronic,3.3,125,"Promotions / Appraisal, Job Security, Company Culture",,Electronics Manufacturing | 201-500 Employees | Greater Noida +7 more,125
5,SAS,4.2,125,"Work Life Balance, Company Culture, Job Security",,IT Services & Consulting | 201-500 Employees | 48 years old | Cary +17 more,125
6,Brick&Bolt,4.1,125,"Salary & Benefits, Company Culture, Skill Development / Learning",,Engineering & Construction | 51-200 Employees | Startup | 7 years old | Bangalore +5 more,125
7,Mansukh Securities & Finance,2.5,124,"Salary & Benefits, Promotions / Appraisal, Job Security",,Financial Services | 51-200 Employees | 36 years old | New Delhi +10 more,124
8,Flemingo Duty Free Shop,4.0,124,"Skill Development / Learning, Work Life Balance",,Retail | 201-500 Employees | 27 years old | Navi Mumbai +14 more,124
9,Ankur Seeds,4.1,124,"Company Culture, Job Security, Work Satisfaction",Promotions / Appraisal,Agriculture | 1k-5k Employees | 48 years old | Nagpur +30 more,124
10,Unify Technologies,3.4,124,"Job Security, Company Culture, Skill Development / Learning",,IT Services & Consulting | 201-500 Employees | 9 years old | Bellevue +8 more,124
11,Speciality Restaurants,4.2,124,"Job Security, Work Life Balance, Salary & Benefits",,Hospitality | 1k-5k Employees | Public | 33 years old | Mumbai +12 more,124
12,Gulf Oil Corporation,4.3,124,"Work Life Balance, Company Culture, Job Security",,Oil & Gas | 201-500 Employees (Global) | 63 years old | Hyderabad +21 more,124
13,Satvat Infosol,3.5,124,"Promotions / Appraisal, Work Life Balance, Salary & Benefits",,IT Services & Consulting | 201-500 Employees | 25 years old | Chennai +5 more,124
14,Caliber Technologies,3.8,124,Job Security,"Salary & Benefits, Promotions / Appraisal",IT Services & Consulting | 501-1k Employees | 23 years old | Pittsburgh +11 more,124
15,SITA,3.8,124,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | 5k-10k Employees | 75 years old | Geneva +19 more,124
16,Nippo Batteries,4.3,124,"Job Security, Salary & Benefits, Work Life Balance",,Auto Components | 1k-5k Employees | 52 years old | Chennai +31 more,124
17,Ashish Life Science,4.2,124,"Company Culture, Work Life Balance, Work Satisfaction",,Pharma | 201-500 Employees | 49 years old | Mumbai +7 more,124
18,Milan Laboratories India Private Limited,4.0,124,"Skill Development / Learning, Job Security, Company Culture",,Pharma | 201-500 Employees | 48 years old | Thane +8 more,124
19,Ajax Engineering,4.0,124,Work Life Balance,Promotions / Appraisal,Engineering & Construction | 51-200 Employees | 32 years old | Bangalore/Bengaluru +18 more,124
0,ASSA ABLOY,3.5,124,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",Real Estate | 51-200 Employees | Public | 19 years old | Stockholm +25 more,124
1,Six Sigma Soft Solutions,3.0,124,"Promotions / Appraisal, Company Culture, Work Satisfaction",,IT Services & Consulting | 1k-5k Employees | 24 years old | Chennai +20 more,124
2,Orchid Hotel,4.1,124,"Skill Development / Learning, Work Life Balance",,Hospitality | 51-200 Employees | 51 years old | Bangalore/Bengaluru +10 more,124
3,Collage,4.2,124,"Company Culture, Work Life Balance, Skill Development / Learning",,Retail | 11-50 Employees (Global) | 16 years old | New York +57 more,124
4,Lubi Industries Llp,4.2,124,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal,Industrial Machinery | 1k-5k Employees | 59 years old | Ahmedabad +26 more,124
5,Kwality Pharmaceuticals,3.9,124,,,Pharma | 501-1k Employees | Public | 41 years old | Amritsar +5 more,124
6,Amar Cars,3.8,124,,,Automobile | 501-1k Employees | 18 years old | Vadodara +10 more,124
7,Layam Flexi Solutions,3.7,124,"Promotions / Appraisal, Job Security, Salary & Benefits",,Recruitment | 1k-5k Employees (Global) | 17 years old | Chennai +29 more,124
8,Oasis Resource Management,4.2,124,"Work Life Balance, Work Satisfaction, Skill Development / Learning",,Other | 201-500 Employees | 24 years old | New Delhi +2 more,124
9,Godrej Tyson Food,4.3,124,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Food Processing | 201-500 Employees | Public | 16 years old | Mumbai +26 more,124
10,Amps Electrical Facility Services,3.3,124,"Promotions / Appraisal, Salary & Benefits, Job Security",,Facility Management Services | 201-500 Employees | 25 years old | Bangalore/Bengaluru +14 more,124
11,Axa Parenterals,4.0,124,"Job Security, Work Satisfaction, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Pharma | 201-500 Employees | Public | 19 years old | Roorkee +7 more,124
12,University of Engineering and Management,3.7,124,Job Security,Promotions / Appraisal,Education & Training | 201-500 Employees | 10 years old | Kolkata +16 more,124
13,BetterPlace Safety Solutions,3.2,124,"Promotions / Appraisal, Work Satisfaction, Company Culture",,IT Services & Consulting | 201-500 Employees | Startup | 9 years old | Gronau +10 more,124
14,Montage Enterprises,3.9,124,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,Packaging | 201-500 Employees | 22 years old | Mumbai +10 more,124
15,Concentric,3.8,124,Job Security,"Promotions / Appraisal, Salary & Benefits",Industrial Machinery | 51-200 Employees | Gurgaon/Gurugram +17 more,124
16,The Hindu Group,4.0,124,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Printing & Publishing | 1k-5k Employees | Public | 146 years old | Chennai +16 more,124
17,INDIA TODAY GROUP,3.8,124,Job Security,"Promotions / Appraisal, Salary & Benefits",Media & Entertainment | 1k-5k Employees | 49 years old | Noida +9 more,124
18,Vserve Ebusiness Solutions,4.4,124,"Work Life Balance, Work Satisfaction, Skill Development / Learning",,IT Services & Consulting | 201-500 Employees | 20 years old | New York +8 more,124
19,Accentuate Technology,4.3,124,"Company Culture, Work Life Balance, Job Security",,IT Services & Consulting | 1-10 Employees | Bengaluru/Bangalore +11 more,124
0,Bewakoof,3.7,124,"Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Job Security, Salary & Benefits",Fashion & Textile | 201-500 Employees | 13 years old | Mumbai +8 more,124
1,Air India Engineering Services,3.8,124,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Company Culture",Industrial Machinery | 501-1k Employees | Public | 20 years old | Delhi/NCR +10 more,124
2,ACN Health care,3.6,124,"Promotions / Appraisal, Job Security, Company Culture",,Healthcare | 11-50 Employees | 13 years old | Bangalore/Bengaluru +3 more,124
3,MASAI School,3.9,124,"Salary & Benefits, Company Culture, Skill Development / Learning",,EdTech | 201-500 Employees | Startup | 5 years old | Bangalore +2 more,124
4,RLabs Enterprise Services,3.7,124,"Promotions / Appraisal, Salary & Benefits, Job Security",,Recruitment | 1k-5k Employees | Public | 11 years old | Hyderabad/Secunderabad +11 more,124
5,Paytm Mall,3.7,124,"Promotions / Appraisal, Job Security, Skill Development / Learning",,Internet | 501-1k Employees | Indian Unicorn | 14 years old | Delhi +23 more,124
6,SUGAR Cosmetics,3.7,124,"Promotions / Appraisal, Job Security, Salary & Benefits",,Internet | 201-500 Employees | Startup | 12 years old | Mumbai +24 more,124
7,Jai Kisan,3.8,124,Salary & Benefits,"Job Security, Promotions / Appraisal",Internet | 51-200 Employees | Startup | 7 years old | Mumbai +24 more,124
8,Unschool Learning,3.4,124,"Salary & Benefits, Job Security, Promotions / Appraisal",,EdTech | 51-200 Employees | Startup | 5 years old | Hyderabad +6 more,124
9,OneClick IT Consultancy,4.7,124,"Company Culture, Job Security, Skill Development / Learning",,IT Services & Consulting | 51-200 Employees | 12 years old | Ahmedabad +2 more,124
10,Bikayi,3.0,124,"Job Security, Work Satisfaction, Promotions / Appraisal",,Marketing & Advertising | 51-200 Employees | Startup | 5 years old | Bengaluru/Bangalore +4 more,124
11,Embitel Technologies,4.3,123,"Job Security, Company Culture, Work Life Balance",,IT Services & Consulting | 501-1k Employees | 18 years old | Bangalore +3 more,123
12,Edwise International,4.0,123,"Job Security, Work Life Balance",,Education & Training | 201-500 Employees | 33 years old | Mumbai +15 more,123
13,Indian School of Business,3.8,123,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Company Culture",Analytics & KPO | 51-200 Employees | 9 years old | Hyderabad/Secunderabad +8 more,123
14,Pramata Knowledge Solutions,3.0,123,"Promotions / Appraisal, Job Security, Salary & Benefits",,IT Services & Consulting | 201-500 Employees | 19 years old | Brisbane +1 more,123
15,Jayem Automotives,3.7,123,"Company Culture, Promotions / Appraisal, Salary & Benefits",,Auto Components | 501-1k Employees | 33 years old | Chennai +7 more,123
16,Ajnara India,3.5,123,"Salary & Benefits, Promotions / Appraisal, Job Security",,Real Estate | 201-500 Employees | Public | 33 years old | Noida +3 more,123
17,YFC PROJECTS,3.8,123,"Skill Development / Learning, Job Security, Work Life Balance",,Engineering & Construction | 51-200 Employees | 38 years old | Gurgaon/Gurugram +12 more,123
18,Holostik,4.1,123,"Work Life Balance, Skill Development / Learning, Job Security",,Packaging | 1k-5k Employees | Public | 33 years old | Noida +11 more,123
19,Optiemus Electronics,3.7,123,"Promotions / Appraisal, Salary & Benefits, Company Culture",,Electronics Manufacturing | 1k-5k Employees | 8 years old | Noida +5 more,123
0,Ajnara India,3.5,123,"Salary & Benefits, Promotions / Appraisal, Job Security",,Real Estate | 201-500 Employees | Public | 33 years old | Noida +3 more,123
1,IonIdea Interactive,3.5,123,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Software Product | 501-1k Employees | 33 years old | Fairfax +8 more,123
2,Barco Electronic Systems,4.2,123,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,Consumer Electronics & Appliances | 501-1k Employees | 90 years old | Duluth +4 more,123
3,Satyesh Brinechem,3.3,123,"Job Security, Work Life Balance, Promotions / Appraisal",,Chemicals | 51-200 Employees | 10 years old | Ahmedabad +8 more,123
4,John Crane Sealing Systems India,3.7,123,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Industrial Machinery | 501-1k Employees | 12 years old | Chicago +3 more,123
5,SPX Flow Technology,4.4,123,"Work Life Balance, Company Culture, Salary & Benefits",,Industrial Machinery | 51-200 Employees | 44 years old | Charlotte +8 more,123
6,Hospital Chemist,4.1,123,"Skill Development / Learning, Company Culture, Work Satisfaction",,New Delhi +56 more,123
7,Edwise International,4.0,123,"Job Security, Work Life Balance",,Education & Training | 201-500 Employees | 33 years old | Mumbai +15 more,123
8,Mahindra Two Wheelers,4.2,123,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Automobile | 501-1k Employees | Public | 16 years old | Pune +34 more,123
9,BlazeClan Technologies,3.8,123,"Skill Development / Learning, Company Culture, Work Life Balance",,IT Services & Consulting | 501-1k Employees | 14 years old | Pune +2 more,123
10,Inteva Products,4.0,123,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",Auto Components | 51-200 Employees | 16 years old | Troy +3 more,123
11,Aranca,3.7,123,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Analytics & KPO | 501-1k Employees | 21 years old | Mumbai +2 more,123
12,Facebook,4.5,123,"Salary & Benefits, Company Culture, Work Life Balance",,Internet | 1k-5k Employees | Forbes Global 2000 | 20 years old | Menlo Park +20 more,123
13,SHARON BIO MEDICINE,4.1,123,"Job Security, Company Culture, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",Pharma | 501-1k Employees | Public | 35 years old | Mumbai +4 more,123
14,Sri Ranganathar Industries,3.5,123,"Company Culture, Promotions / Appraisal, Job Security",,Industrial Machinery | 501-1k Employees | 42 years old | Coimbatore +5 more,123
15,Marque Impex,4.1,123,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,Import & Export | 1k-5k Employees | 28 years old | Moradabad +3 more,123
16,Tecnotree Convergence,3.1,123,"Promotions / Appraisal, Company Culture, Salary & Benefits",,Telecom | 201-500 Employees | 46 years old | Espoo +2 more,123
17,Affine,3.4,123,"Promotions / Appraisal, Work Life Balance, Salary & Benefits",,IT Services & Consulting | 201-500 Employees | 13 years old | Bangalore +1 more,123
18,Back Office,4.0,123,"Company Culture, Skill Development / Learning, Work Satisfaction",,BPO | 51-200 Employees | 20 years old | Dubai +36 more,123
19,Serdia Pharmaceuticals,3.8,123,"Skill Development / Learning, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",Pharma | 501-1k Employees | 38 years old | Mumbai +22 more,123
